,"Cooling Degree Days U.S. Average, Monthly /// units: total degree days /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,10.177417824
1,202311,21.062750279
2,202310,62.428106078
3,202309,174.74999271
4,202308,321.60653311
5,202307,347.14135853
6,202306,236.44637845
7,202305,117.02015948
8,202304,38.829443824
9,202303,22.194430828
10,202302,11.014447417
11,202301,10.29116883
12,202212,10.127792844
13,202211,20.952259637
14,202210,64.402292312
15,202209,178.37456917
16,202208,328.06240267
17,202207,383.1045457
18,202206,269.70047726
19,202205,147.38818316
20,202204,48.443493369
21,202203,26.622229724
22,202202,11.006859379
23,202201,8.6578322413
24,202112,25.492570683
25,202111,17.905717428
26,202110,83.553938995
27,202109,199.55414903
28,202108,356.7011184
29,202107,346.15352527
30,202106,273.73498742
31,202105,100.50220773
32,202104,36.42412917
33,202103,28.07073467
34,202102,11.976004294
35,202101,9.7925693398
36,202012,6.9446333575
37,202011,31.796671811
38,202010,82.051316579
39,202009,180.26824857
40,202008,355.92241762
41,202007,396.99967135
42,202006,246.08550362
43,202005,105.08847614
44,202004,42.348203243
45,202003,42.474304433
46,202002,12.422784968
47,202001,15.125548509
48,201912,13.696916129
49,201911,15.969872076
50,201910,74.600894867
51,201909,241.57435902
52,201908,334.982756
53,201907,372.39535434
54,201906,226.00017907
55,201905,128.5793799
56,201904,41.573089688
57,201903,18.235214188
58,201902,17.942291275
59,201901,8.964896017
60,201812,10.641427439
61,201811,17.662973364
62,201810,68.959078865
63,201809,230.0303071
64,201808,350.29853157
65,201807,375.1339247
66,201806,268.76992405
67,201805,173.4582498
68,201804,32.348679269
69,201803,20.977489721
70,201802,22.753325463
71,201801,7.4961456951
72,201712,10.059064834
73,201711,27.1893427
74,201710,77.245885833
75,201709,183.4908476
76,201708,291.08180955
77,201707,362.08499615
78,201706,240.40715719
79,201705,105.03370281
80,201704,55.54605019
81,201703,31.704334195
82,201702,21.588470802
83,201701,16.567552364
84,201612,16.452592947
85,201611,25.379353369
86,201610,85.90700018
87,201609,218.5179336
88,201608,361.39062055
89,201607,382.94056312
90,201606,269.92041605
91,201605,97.016549317
92,201604,42.220364885
93,201603,34.998478279
94,201602,11.104526984
95,201601,7.4167488775
96,201512,26.137577288
97,201511,29.612369094
98,201510,76.598971423
99,201509,222.66143679
100,201508,314.55008771
101,201507,335.49118996
102,201506,254.29610396
103,201505,125.54315745
104,201504,52.999508295
105,201503,29.226942393
106,201502,7.2501110375
107,201501,9.1537452885
108,201412,10.262559168
109,201411,11.075840007
110,201410,73.892739219
111,201409,182.07774728
112,201408,291.32151936
113,201407,300.1760489
114,201406,242.12053702
115,201405,112.94819926
116,201404,37.120288375
117,201403,15.180786142
118,201402,11.882719066
119,201401,7.0511996318
120,201312,13.33646578
121,201311,17.656971351
122,201310,55.848219092
123,201309,176.87644672
124,201308,287.98438103
125,201307,338.06071349
126,201306,244.20479601
127,201305,99.464535979
128,201304,34.039811904
129,201303,11.063832977
130,201302,10.766520152
131,201301,14.926564286
132,201212,11.385683733
133,201211,13.911280359
134,201210,55.211235336
135,201209,173.58597441
136,201208,327.86100799
137,201207,401.11847038
138,201206,232.8578679
139,201205,154.71567203
140,201204,48.674783714
141,201203,48.782898691
142,201202,13.247119625
143,201201,11.985233114
144,201112,11.238021951
145,201111,18.343284574
146,201110,49.453217264
147,201109,175.25140257
148,201108,349.66787253
149,201107,404.14150605
150,201106,259.18648299
151,201105,106.78445847
152,201104,54.153775614
153,201103,25.130929961
154,201102,9.5557162169
155,201101,5.8685943902
156,201012,2.8631466975
157,201011,15.004096677
158,201010,55.049083487
159,201009,194.82572281
160,201008,351.43307854
161,201007,374.65266366
162,201006,282.67271117
163,201005,128.21691411
164,201004,36.434649031
165,201003,8.5594716498
166,201002,2.7063564295
167,201001,4.0042900295
168,200912,8.1249334479
169,200911,18.216047807
170,200910,49.125041353
171,200909,168.62366796
172,200908,303.16108584
173,200907,286.35795462
174,200906,221.85391971
175,200905,118.29645298
176,200904,30.557676445
177,200903,19.886462036
178,200902,8.651835454
179,200901,8.1251335234
180,200812,9.6019873499
181,200811,13.219890434
182,200810,49.337813413
183,200809,170.62601789
184,200808,281.34631969
185,200807,331.02354519
186,200806,261.55623456
187,200805,93.198807137
188,200804,32.203413929
189,200803,19.547167732
190,200802,13.093287212
191,200801,8.2290565517
192,200712,13.767004228
193,200711,18.078822626
194,200710,80.882097624
195,200709,186.67824222
196,200708,361.76082193
197,200707,306.96511213
198,200706,231.650934
199,200705,117.94548233
200,200704,24.734813621
201,200703,31.637099612
202,200702,6.5349793231
203,200701,11.541504886
204,200612,13.262653686
205,200611,15.305092009
206,200610,46.929020029
207,200609,134.43589561
208,200608,329.41622206
209,200607,381.50963032
210,200606,233.07917473
211,200605,108.73505639
212,200604,55.200092917
213,200603,21.234303899
214,200602,6.2470231539
215,200601,14.489784054
216,200512,5.6778310981
217,200511,21.366091735
218,200510,56.077243266
219,200509,209.32075969
220,200508,344.78122272
221,200507,364.65086339
222,200506,244.18124853
223,200505,82.969857435
224,200504,25.36278017
225,200503,13.803643256
226,200502,9.1894990796
227,200501,11.365268831
228,200412,6.0526486064
229,200411,19.020239921
230,200410,68.309522719
231,200409,171.02346569
232,200408,247.84613863
233,200407,294.28383972
234,200406,202.33915105
235,200405,134.91505209
236,200404,28.659940311
237,200403,29.177595889
238,200402,7.6499066963
239,200401,7.4916172203
240,200312,5.0941828863
241,200311,22.605578963
242,200310,63.941464957
243,200309,151.91677937
244,200308,334.51263781
245,200307,330.5940213
246,200306,181.80962373
247,200305,107.68818503
248,200304,30.745948632
249,200303,25.041809696
250,200302,8.5895614036
251,200301,5.1519635936
252,200212,6.2737877212
253,200211,11.844910468
254,200210,56.28311266
255,200209,194.64600487
256,200208,321.31530489
257,200207,361.21000114
258,200206,235.44278561
259,200205,89.814909193
260,200204,52.390877802
261,200203,18.144372358
262,200202,6.8519034782
263,200201,9.7281865149
264,200112,12.485707882
265,200111,21.4798979
266,200110,46.570065026
267,200109,137.77386746
268,200108,330.11897347
269,200107,300.37821142
270,200106,218.17309098
271,200105,117.52151495
272,200104,40.250284808
273,200103,13.078298933
274,200102,13.596401237
275,200101,4.0836837673
276,200012,5.2146418884
277,200011,10.146713779
278,200010,49.616812092
279,200009,154.05857831
280,200008,299.41024056
281,200007,283.11348941
282,200006,218.30474886
283,200005,134.5622053
284,200004,29.398013775
285,200003,27.665297046
286,200002,11.452006402
287,200001,9.3605628334
288,199912,7.0690989082
289,199911,19.476126305
290,199910,54.729709736
291,199909,149.5777174
292,199908,299.55672802
293,199907,363.64880595
294,199906,212.97574969
295,199905,95.331450238
296,199904,42.468420365
297,199903,13.541596362
298,199902,11.747938436
299,199901,11.978901885
300,199812,11.93583063
301,199811,21.701952018
302,199810,60.032234314
303,199809,206.9249988
304,199808,332.18076319
305,199807,344.7462184
306,199806,223.14147088
307,199805,135.32961582
308,199804,23.76924945
309,199803,11.436269401
310,199802,7.5196372242
311,199801,11.749506237
312,199712,6.3402654245
313,199711,11.334657744
314,199710,45.740212243
315,199709,165.35613743
316,199708,262.36878838
317,199707,307.52541133
318,199706,182.50535436
319,199705,81.827044641
320,199704,19.724898085
321,199703,31.05752076
322,199702,11.609330487
323,199701,7.9110209871
324,199612,7.9546279927
325,199611,14.960492246
326,199610,44.71776449
327,199609,132.6745415
328,199608,280.64944124
329,199607,296.06417557
330,199606,219.19677433
331,199605,116.92087507
332,199604,26.356227502
333,199603,8.5707865097
334,199602,6.9119321572
335,199601,6.9445200174
336,199512,6.2344780355
337,199511,13.796939333
338,199510,58.126194322
339,199509,144.13909244
340,199508,351.99676478
341,199507,338.7227041
342,199506,193.82661482
343,199505,91.931247008
344,199504,28.940760694
345,199503,18.612229234
346,199502,7.8423726615
347,199501,6.9281980384
348,199412,10.164351813
349,199411,22.826802435
350,199410,47.226496527
351,199409,132.8831158
352,199408,253.6221586
353,199407,317.81764852
354,199406,252.20970989
355,199405,75.949058933
356,199404,36.902464754
357,199403,18.360859233
358,199402,10.196483209
359,199401,6.9289755299
360,199312,5.2308207648
361,199311,12.023842995
362,199310,44.140357767
363,199309,138.61089058
364,199308,303.71637138
365,199307,334.09858812
366,199306,196.0640373
367,199305,86.933238947
368,199304,18.33393914
369,199303,11.536129881
370,199302,5.5816299632
371,199301,12.1330832
372,199212,8.38790479
373,199211,14.183426192
374,199210,45.21560695
375,199209,141.96661641
376,199208,219.83779145
377,199207,276.35913145
378,199206,161.63927448
379,199205,75.265407236
380,199204,27.28283392
381,199203,15.669388615
382,199202,9.7659392713
383,199201,5.9669956434
384,199112,9.8970979685
385,199111,9.8253807727
386,199110,57.240305659
387,199109,142.00476224
388,199108,291.50548986
389,199107,324.49006478
390,199106,223.65788638
391,199105,142.07892441
392,199104,41.314501334
393,199103,19.624834256
394,199102,9.4409075034
395,199101,10.231445324
396,199012,9.7306841814
397,199011,17.330454604
398,199010,51.308903982
399,199009,160.07284663
400,199008,278.21943373
401,199007,304.31529699
402,199006,220.98037513
403,199005,82.752018359
404,199004,27.566163862
405,199003,19.943321333
406,199002,13.811845388
407,199001,14.222236245
